longitude,latitude,name
-123.58500, 39.65700, "JACKSON VALLEY MUD SPRINGS            80"
-116.18900, 32.61700, "JACUMBA HOT SPRINGS                  101"
-122.44500, 39.03300, "JONES FOUNTAIN OF LIFE SPRING        142"
-118.30200, 36.22900, "JORDAN HOT SPRINGS                   124"
-116.92300, 36.67500, "KEANE WONDER SPRING                   93"
-121.02800, 41.12600, "KELLOG HOT SPRINGS                   172"
-120.83400, 41.45000, "KELLY HOT SPRING                     198"
-118.37300, 37.25300, "KEOUGH HOT SPRINGS                   124"
-118.40400, 36.47700, "KERN HOT SPRING                      109"
-122.20200, 41.97300, "KLAMATH HOT SPRING                   156"
-120.20600, 41.67000, "LAKE CITY HOT SPRINGS                207"
-117.14500, 33.83700, "LAKEVIEW HOT SPRINGS                 100"
-120.21900, 34.50300, "LAS CRUCES HOT SPRINGS                99"
-120.08800, 41.60000, "LEONARDS HOT SPRINGS                 144"
-119.61300, 34.53700, "LITTLE CALIENTE SPRING                90"
-122.74800, 38.76700, "LITTLE GEYSERS                       210"
-118.83900, 37.69200, "LITTLE HOT CREEK SPRING              180"
-121.40500, 41.22900, "LITTLE HOT SPRING                    169"
-117.84800, 36.69800, "LITTLE HUNTER CANYON SPRINGS          81"
-121.44500, 37.57300, "LONE TREE MINERAL SPRING              73"
-122.55200, 38.39400, "LOS GUILICOS WARM SPRINGS             88"
-117.77100, 36.80600, "LOWER WARM SPRINGS                   110"
-122.72000, 38.55000, "MARK WEST SPRINGS                     88"
-119.30200, 34.48200, "MATILIJA HOT SPRINGS                 109"
-114.90700, 33.73300, "MCCOY SPRING                          82"
-120.54700, 39.72800, "MCLEAR WARM SPRINGS                   86"
-120.86000, 36.70300, "MERCEY HOT SPRINGS                   119"
-121.54500, 40.45700, "MILL CREEK SPRINGS                   150"
-121.79400, 37.39800, "MINERAL SPRINGS                       84"
-118.53400, 35.57500, "MIRACLE HOT SPRS  HOBO HOT SPRS      119"
-119.91700, 35.48300, "MIZE SPRING                           73"
-118.90200, 38.03300, "MONO BASIN WARM SPRINGS               88"
-119.01800, 37.32700, "MONO HOT SPRINGS                     109"
-119.63700, 34.46100, "MONTECITO HOT SPRINGS                118"
-121.51300, 40.38200, "MORGAN HOT SPRING                    205"
-115.59100, 33.21200, "MUD POTS                             100"
-115.57700, 33.20100, "MUD POTS                             100"
-115.58800, 33.34500, "MUD VOLCANOES                          W"
-115.59200, 33.28000, "MUD VOLCANOES                          W"
-115.57500, 33.28800, "MUD VOLCANOES                          W"
-115.57300, 33.34300, "MUD VOLCANOES                          W"
-115.58300, 33.32800, "MUD VOLCANOES                          W"
-115.60500, 33.31300, "MUD VOLCANOES                          W"
-115.57700, 33.31200, "MUD VOLCANOES                          W"
-115.57500, 33.33200, "MUD VOLCANOES                          W"
-123.30800, 39.42900, "MUIR SPRINGS                          68"
-117.15400, 33.55800, "MURRIETTA HOT SPRINGS                132"
-120.02500, 38.85000, "MYERS WARM SPRING                     75"
-122.26000, 38.51900, "NAPA ROCK SODA SPRING  PHILLIPS SOD   78"
-122.25900, 38.33900, "NAPA VICHY SPRINGS                    76"
-116.82100, 36.51200, "NEVARES SPRINGS                      102"
-116.67700, 34.82600, "NEWBERRY SPRING                       77"
-122.71400, 39.19600, "NEWMAN SPRINGS                        94"
-120.54200, 35.12200, "NEWSOM SPRINGS                        99"
-122.35700, 38.83300, "ONE SHOT MINING CO                    72"
-123.36200, 39.22700, "ORRS SPRINGS                         104"
-117.76300, 36.81400, "PALM SPRING                          120"
-116.54200, 33.82300, "PALM SPRINGS (AGUA CALIENTE SPRING)  104"
-116.83800, 34.27100, "PAN HOT SPRINGS                       88"
-119.02800, 37.99300, "PAOHA ISLAND SPRINGS                 181"
-116.81300, 35.14300, "PARADISE SPRING                      100"
-121.36700, 36.33100, "PARAISO SPRINGS (SULPHUR SPRING)      98"
-120.69200, 35.66300, "PASO ROBLES ARTESIAN SPRING          102"
-120.85100, 35.26900, "PECHO WARM SPRINGS                    95"
-123.47800, 39.69700, "PINCHES SPRING                        70"
-122.69300, 38.85000, "PINE CONE SPRING                      78"
